,id,text,lang,is_retweet
1310960,1261647409878315009,dr hilary said masks are not likely to prevent the covid virus . he's a doctor,en,False
596556,1261533891241709569,wear a damn mask. don't dance with death.,en,False
951178,1261598270620602369,#covid_19 in #tunisia: legal clarifications regarding the « protective #masks affair »,en,False
1502246,1261667740923736068,"not only that but the masks are a breeding ground for bacteria and other diseases , like covid. they'll get through the masks and get into your system.",en,False
1300154,1261646230607802368,"i've been saying this for a while now. you have some states arresting people for not wearing masks, that offer no protection. i'd sue.",en,False
1963451,1261718296832901121,"the response to the coronavirus is performative to me. most carriers are asymptomatic, so why check to see if ppl have fevers? why wait until we show symptoms to get tested? why are we wearing loose fitted masks and gloves that touch multiple surfaces???",en,False
956031,1261599105911943169,his wearing a mask has nothing to do with covid...he is just embarrassed that she took him to the wood shed.,en,False
1821792,1261703151222173696,"absolutely! between the amazing insights about psychological quarantine dynamics and the beard, he pretty much makes even the most disciplined follower of coronavirus prevention protocols want to say ""fuck social-distancing and masks!""",en,False
1581750,1261678319881289736,stories like that can’t be shared often enough until the last covidiot understood the risk of catching the virus or transmitting it. keep distance and wear a mask!,en,False
528392,1261521496448499712,"it’s ‘covid clean’ night at club tori. mask dress code not enforced as we’ve hit capacity at one person. dj spotify and dj youtube are on a roll. the best of beatking, partyboyz, yung nation, treal lee, & chalie boy.",en,False
643812,1261542584289234944,"betsy devos, trump&pence &republicans are promoting violence in michigan bc their irresponsible corrupted bad example of not waring masks to “support trump”&denying coronavirus.those ignorants nazis bastards unibombers those are evil manipulate by trump.attaking",en,False
2036438,1261726212931674114,"there seems to be anecdotes that high density housing with centralized hvac may be spreading covid-19, so it is not clear-cut that being outside without a mask is worse than staying home",en,False
1974664,1261719511050395650,i can’t wait to buy it! i wonder if you can post a video with make up that won’t transfer onto my mask. going back to work in june & will have to wear a mask all day due covid. #covidsurvivor #covidmakeuptips,en,False
648177,1261543406695743489,"two of my friends died from covid. they got sick in march before masks & social distancing were advised. if the country goes back to life like that, thousands more will die. a common sense, science based approach to opening is necessary unless you want your friends to die too.",en,False
2075833,1261730604162387971,people think they don't need to use masks or social distance.,en,False
1495348,1261667012968960001,"#leadership #digitaltransformation #covid19 #coronavirus #meaningfulgrowth #geniouxmg dear professor erin bromage ), your work is very brilliant. chapeau! i would love for you to answer key questions: what could have been the difference if people had worn masks?",en,False
281872,1261485526336626688,"as the weather warms up, is it safe to go outside? yes, but keep your distance and have a mask handy, experts say.",en,False
2516310,1261785600505643008,where are the masks for the police,en,False
1098222,1261621473787207680,just mask on.after all we import id rather not loose ma precious sleep than waiting fr aceng to anounce another 30 wen lokdown days r getin less,en,False
1655707,1261685983499530241,"if you refuse to wear a mask, and this includes trump, stfu about the economy. you are the ones destroying it.",en,False
2212995,1261746315240841218,"so this is the idiot i've been hearing about the last three days. since you're that scared of covid, mask up, go home to mommy and crawl under your bed or curl up in a closet. people are struggling to stay solvent and you want to cry about half pay at about 3.5 mil. stfu! ...",en,False
1713992,1261691951461662722,only gullible idiots wear those stupid masks. they accomplish nothing other than to spread democrat propaganda. #covid19 #covid #faucifraud #fauci,en,False
1336699,1261650321891299332,former neurosurgeon says masks are ineffective against covid-19 and can cause health problems,en,False
2267256,1261752615941083137,#research alharamain to avoid being infected with coronavirus: 1- limit direct contact with others 2- always keep a 2 meters distance when interacting with others. 3- wearing masks 4- wash hands and use sanitation,en,False
821928,1261573756444717056,please for the love of everything good wear your mask correctly people staying home can get covid-19: safety tips for running errands,en,False
2363217,1261764176046886913,be there in point pleasant to stand for our freedom! #opennj without restrictions. the time is now. big businesses are no better than small. masks hold germs and cannot stop this tiny virus particle. wake up nj! #whatarewedoing,en,False
2384363,1261766771507449858,"when lots more people start dying after #lockdown is eased, maybe then people in charge will listen to reason and stop playing games with other people's lives? #covid19 #coronavirus #lockdown #secondwave #pandemic #influenza #socialdistancing #quarantine #mask #ppe",en,False
682797,1261549800123707392,can someone show me in the constitution where your right not to wear a mask is? i can't find it. #maskitorcasket #coronavirus #fridaynight,en,False
2464535,1261778998788411392,"you can't have it both ways: anti-coronavirus masks may thwart our creepy face-recog cameras, london cops admit via",en,False
730861,1261558018828718082,something undercover is happening. do not fear. its not mandatory. he just said this at a news briefing. fauci's face was covered with a mask but i am sure he choked. lol,en,False
9599,1261447413773942784,"caribbean nations can’t get u.s. masks, ventilators for covid-19 under trump policy",en,False
747285,1261560840806940672,"#rt: ""they see it more as a soft opening."" mickey, minnie and masks: reports from shanghai disneyland's first day opening after being shut for months on #coronavirus concerns. more in: #上海...",en,False
403905,1261502033804365827,what does wearing a mask prevent? not covid lol,en,False
2128542,1261736583243284480,arrest hobos/none r wearing masks/roaming our streets/ test them carriers of 19/if gunsmoke days/they came near me/id punch their ticket/now ihave to hold my anger/i tellim its mandatory now brau/golden arm star trek,en,False
2484393,1261781473537003520,those who don’t care or believe in #covid refusing to wear mask and socially distance is your choice. you should forfeit your health care coverage and life insurance enjoy your 1st amendment. the rest of us shouldn’t have to pay higher premiums to support your position. #cnn,en,False
371024,1261497326633398272,"i totally understand the desperation and strong belief to speed things up, we should also think of the unseen enemy and mutation,use distancing and masks as safety, everyone absolutely has every reason to be passionate about the way they feel covid-19 isn’t gone so protect others",en,False
2212189,1261746219652714498,"your own source, fake news cnn, reports deaths over a year were about 13k. we had that in less than one month with covid. 85k and climbing with stay in place and masks. sure, it's the flu. keep repeating it to yourself.",en,False
907459,1261590677097517058,"covid19 from the family of corona will not go so we will have to live with it so wear mask compusulory as it is difficult to find vaccine.#coronaupdatesinindia ,#coronavirus ,#covid19pandemic ,#cbseboardexams2020",en,False
638561,1261541632878489602,"#advice for #nursing mothers. if you are sick and choose to breastfeed, remember to adhere to following guidelines: maintain strict hygiene & wash your hands before each feeding wear a face mask while breastfeeding & handling baby pump or express breastmilk... #covid19",en,False
124013,1261461531427958784,face mask is meated #คั่นกูตอนจบ #coronavirus #technicalguruji #cashappinbio #the1975 #지은아_스물에잇번째_생일축하해 #abiior,en,False
2624992,1261799890453180417,this friday we were on a united flight from lax to ewr. some members of the cabin crew took of their facemaks every now and then while serving in the cabin and also having long conversations without the mask! respect? poor discipline!,en,False
1246080,1261640231717163008,just 230 cases in europe? and no proof it’s even related to covid? i think that mask is cutting off the oxygen to your brain.,en,False
684771,1261550164843458560,"these parents endangering their children while a global pandemic wages against humanity. these people not wearing masks, not social distancing and spewing hate at media. millions of americans are doing their patriotic duty to stay home to slow the spread of sars-coronavirus-2.",en,False
1091475,1261620505594998786,"did you know that for every non-medical mask sold, teepublic will donate one medical grade mask to direct relief? visit our teepublic store select your favourite design and get your mask! #mask #teepublic #directrelief #donations #covid_19 #coronavirus",en,False
2086966,1261731850730369024,the conservative not wearing masks should all be waving signs: “give me liberty or give me death! or maybe both!”,en,False
2383253,1261766639160307714,former neurosurgeon says masks are ineffective against covid-19 and can cause health problems,en,False
1521701,1261672063636434944,"even adjusting for population, the japanese death rate is a mere 2% of america’s. how does japan do it? nearly everyone there is wearing a mask.",en,False
378854,1261498423452282887,so children aren’t allowed to play team sports but the lakers can have practice. will they be wearing masks? so when you say things won’t get back to normal you mean just not for the peasants of la.,en,False
2089007,1261732080083484673,trump goes everywhere with no mask and his old ass has zero signs of covid.,en,False
1998305,1261722066774081537,"why are we being ordered to wear masks when the n95 mask is rated to stop particles as small as .3 microns, but the particles of the covid 19 are .125 microns on average. where is the protection?",en,False
1616172,1261681929931427841,"via @breitbartnewssanta ana, california, is experiencing a surge in crime as suspects exploit a national recommendation to wear masks to prevent the spread of the chinese coronavirus.",en,False
1464556,1261663777331675137,"me: all well and good, but no mention of masks.",en,False
308528,1261488923315974144,"who’s enforcing mask rules? often retail workers, and they’re getting hurt",en,False
